name,num_promises,promise_fulfillment,general_popularity,sympathy,economic_views,social_views,media_activity,voting_effectiveness,age,group_numeric
lib_1,11,0.8202329753710902,44.80293795485376,0.7029534048452608,-0.41676023409276663,-0.6929994287242629,10.596778966095684,0.8799396136706549,39,2
pop_1,16,0.25474751913605,43.509035122949854,0.5594654121525515,-0.18090344774188039,-0.055919329014075314,16.494317940777897,0.36341581786514526,63,0
lib_2,14,0.8043024870063343,51.368032686745494,0.7121404280400199,-0.8123896998541711,-0.308403299438333,17.659959501929947,0.9208531528398014,46,2
cons_1,10,0.5521719548710102,36.16328967387387,0.323125944239485,0.9229059897247396,0.8252650933367938,9.8538227052176,0.6289364611609356,61,1
pop_2,15,0.29076483618606364,49.946175726477236,0.60497887402693,0.05001920424605322,-0.4237497334322037,12.95491787683664,0.32569022568396044,55,0
tech_1,5,0.8241257331980648,40.658520012670834,0.28091803852327824,0.1815476045265254,-0.028618083112845805,4.216483156108737,0.8866790648517701,38,3
lib_3,13,0.9188642104487936,47.76055843695028,0.8007941348886817,-0.5312507579502297,-0.5625675485330801,16.74689050987825,1.0452155760918322,58,2
cons_2,14,0.7291048524330015,39.74665498147496,0.3582668881736312,0.7007198702440312,0.36699876162867096,11.197287783925976,0.8231921982406918,70,1
pop_3,16,0.20483876200850507,51.88863758890085,0.5670355577182866,-0.40462421351316635,-0.39285063941265885,14.95529528770911,0.2526537259657865,35,0
tech_2,8,0.9108766499435544,29.723764353078614,0.3775397468841959,0.3891689978389013,-0.021301216658411892,3.174365855196162,0.9565918609552191,42,3
tech_3,5,0.8008269285498781,35.95056294697296,0.11729440449143258,-0.1698811651454028,0.23752556723031193,4.170350414481052,0.915242077464695,48,3
cons_3,8,0.6656131165606718,39.609900155930205,0.5654415033503932,0.6221668970815467,0.43521923119242756,7.0558475246489145,0.7883022428299518,42,1
